id,section,domain,skill,test_name,issues,text_preview
fa92720e-d9b2-485a-9313-5041b77e5352_10,Reading and Writing,Problem-Solving and Data Analysis,Evaluating Statistical Claims,August 2025 US Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Taken together, information in the text and graph best support which conclusion about the campaign ads used in the study by Valentino et al.? Political scientists have asserted that by providing succinct and clear inform"
fa92720e-d9b2-485a-9313-5041b77e5352_11,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,August 2025 US Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice most effectively uses data from the table to complete the text? Domestic sheep’s wild ancestor, the mouflon, has a coarse outer coat and an inner coat of wool fiber that is finer in diameter and therefore mu"
fa92720e-d9b2-485a-9313-5041b77e5352_13,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",August 2025 US Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,Which statement about the mycelium of the twenty mushroom species is best supported by the text? Radamés Cordero et al. have confirmed that twenty mushroom species (including *Coprinellus micaceus* and species from the g
fa92720e-d9b2-485a-9313-5041b77e5352_15,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,August 2025 US Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice most logically completes the text? Subsequent to simulating an attack to elicit defense responses in three caterpillar species, ecologists placed a treatment group of those individuals in an enclosure where "
0a5f1b28-e866-44fd-85d1-c7684ad9e576_12,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",December 2023 Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,Which quotation from a researcher would best support the student’s assertion? Fish whose DNA has been modified to include genetic material from other species are known as transgenic. Some transgenic fish have genes from 
f6d1c961-52d1-4186-baf5-d276dfd4939f_8,Reading and Writing,Algebra,Linear Functions,December 2023 Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, the author would be most likely to disagree with which statement about vocal manipulation in hyperpop? A number of artists associated with hyperpop, a movement in electronic music that emerged in the 2"
f6d1c961-52d1-4186-baf5-d276dfd4939f_9,Reading and Writing,Problem-Solving and Data Analysis,Probability,December 2023 Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"According to the text, what did Brown and colleagues find and why does that occur? Joel Brown and colleagues showed that high moonlight intensity inhibits the activity of the Arizona pocket mouse (*Perognathus amplus*), "
bcfca978-b649-44b6-8774-fc731fcc4199_9,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,December 2023 Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,What is the main topic of the scientific research discussed in the text? In 2009 Danielle L. Dixson and colleagues published a study concluding that ocean acidification has a strong effect on the behavior of *Amphiprion 
d9f381e2-df35-4ee7-a137-e689faac81b5_8,Reading and Writing,Advanced Math,Equivalent Expressions,December 2023 Form C SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"According to the text, what did Ambopteryx and Yutyrannus have in common? When people think of dinosaurs with feathers, they typically think of winged dinosaurs, such as the bat-like *Ambopteryx*. However, many dinosaurs"
d9f381e2-df35-4ee7-a137-e689faac81b5_10,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",December 2023 Form C SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, which choice best explains why it is challenging to confidently assign authorship of the essay “The Senate”? The Federalist Papers are a collection of essays written by Alexander Hamilton, John Jay, an"
d9f381e2-df35-4ee7-a137-e689faac81b5_12,Reading and Writing,Geometry and Trigonometry,Area and Volume,December 2023 Form C SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which finding from the experiment, if true, would most directly support Bernal and de Silva's conclusion? Male túngara frogs make complex calls to attract mates, but their calls also attract frog-biting midges, insects t"
2ecbcc31-a047-4184-8f07-5ee89663c904_8,Reading and Writing,Advanced Math,Equivalent Expressions,December 2024 International Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, what most likely motivates Tia Ana's behavior during Salomé's salon? The following text is from Julia Alvarez's 2000 novel *In the Name of Salomé*. Salomé, a poet, is hosting guests in the front parlor"
2ecbcc31-a047-4184-8f07-5ee89663c904_9,Reading and Writing,Advanced Math,Equivalent Expressions,December 2024 International Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"What claim does the text make about the demand for petroleum? Companies involved in petroleum extraction include drilling equipment among their assets. But petroleum extraction is a very carbon-intensive industry, so as "
2ecbcc31-a047-4184-8f07-5ee89663c904_10,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",December 2024 International Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"According to the text, which trait do researchers think may contribute to a flat-headed cat's ability to purr? Why do flat-headed cats purr but jaguars roar? Researchers hypothesize that this difference between the two f"
8ee3b6ba-7cb9-4462-8a32-a7c602662d8b_8,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,December 2024 International Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice best describes the finding made by Curtis and colleagues, as presented in the text? Optimal foraging theory (OFT) holds that animals' foraging behaviors reflect cost-benefit trade-offs that vary by species a"
8ee3b6ba-7cb9-4462-8a32-a7c602662d8b_10,Reading and Writing,Advanced Math,Equivalent Expressions,December 2024 International Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which finding, if true, would most directly support Martinez and colleagues' conclusion? The bird species *Myiobius barbatus* (the bearded flycatcher) shares some territory in French Guiana with *Thamnomanes caesius* (th"
32cd6c88-820b-4de4-aa5c-08fe14fb73ef_4,Math,Information and Ideas,Command of Evidence,December 2024 International Form A SAT Math Module 1,subject_domain_mismatch;subject_skill_mismatch,"The table shows three values of x and their corresponding values of y. There is a linear relationship between x and y, Which of the following equations represents this relationship?"
32cd6c88-820b-4de4-aa5c-08fe14fb73ef_6,Math,Information and Ideas,Command of Evidence,December 2024 International Form A SAT Math Module 1,subject_domain_mismatch;subject_skill_mismatch,"An object was launched upward from a phatform. The graph shown models the height ahove ground, y. in meters, of the object x seconds after it was launched. For which of the following intervals of time was the height of t"
595615e1-f0a9-4cfd-a290-fb855094a94a_8,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,December 2024 International Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice best describes the finding made by Colquhoun, as presented in the text? Optimal foraging theory (OFT) holds that animals' foraging behaviors reflect cost-benefit trade-offs that vary by species and with dyna"
595615e1-f0a9-4cfd-a290-fb855094a94a_9,Reading and Writing,Advanced Math,Equivalent Expressions,December 2024 International Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which finding, if true, would most directly support Martinez and colleagues' conclusion? The bird species *Cercomacra cinerascens* (the gray antbird) shares some territory in French Guiana with *Thamnomanes caesius* (the"
595615e1-f0a9-4cfd-a290-fb855094a94a_12,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,December 2024 International Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which finding, if true, would most directly support Shcherbakova and colleagues' claim? The linguistic niche hypothesis (LNH) posits that the exotericity of languages (how prevalent non-native speakers are) and grammatic"
4e1b3643-30b1-41c4-9027-1f149baf52c7_4,Math,Information and Ideas,Command of Evidence,December 2024 International Form B SAT Math Module 1,subject_domain_mismatch;subject_skill_mismatch,The table shows three values of x and their corresponding values of y. There is a linear relationship between x and y. Which of the following equations represents this relationship?
4e1b3643-30b1-41c4-9027-1f149baf52c7_5,Math,Information and Ideas,Command of Evidence,December 2024 International Form B SAT Math Module 1,subject_domain_mismatch;subject_skill_mismatch,"An object was launched upward from a platform. The graph shown models the height above ground, y, in meters, of the object x seconds after it was launched. For which of the following intervals of time was the height of t"
88552b8b-f774-4f18-b52e-65b24051a3d9_6,Reading and Writing,Algebra,Linear Functions,December 2024 International Form C SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Which choice best describes the function of the underlined phrase in the text as a whole? In the early days of television in the 1940s, many people thought that US television programs would rely on the financial support "
e8c1c8d6-7a36-4b74-a13e-828f6caa1c1c_7,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",December 2024 International Form C SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"What does the text most strongly suggest about the story of Hans Castorp? The following text is from Thomas Mann's 1924 novel *The Magic Mountain*, translated by John E. Woods in 1995. The story of Hans Castorp that we i"
d0bf40d9-9809-4546-a0a3-4654ea36f6fb_11,Math,Information and Ideas,Command of Evidence,December 2024 International Form C SAT Math Module 1,subject_domain_mismatch;subject_skill_mismatch,"The graph models the number of active projects a company was working on x months after the end of November 2011, where 0 ≤ x ≤ 6. According to the model, what is the predicted number of active projects the company was wo"
1eaebf8c-38dc-4789-91fd-fd26c390bf69_7,Reading and Writing,Problem-Solving and Data Analysis,Percentages,December 2024 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"The text makes which point about the difference between the proportions of Quito residents and Lima residents using parks? In a study by Mika R. Moran, Daniel A. Rodriguez, and colleagues, residents of Quito, Ecuador, an"
1eaebf8c-38dc-4789-91fd-fd26c390bf69_8,Reading and Writing,Advanced Math,Equivalent Expressions,December 2024 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which finding, if true, would most directly support Martinez and colleagues' conclusion? The bird species *Schistocichla leucostigma* (the spot-winged antbird) shares some territory in French Guiana with *Thamnomanes cae"
1eaebf8c-38dc-4789-91fd-fd26c390bf69_9,Reading and Writing,Problem-Solving and Data Analysis,Probability,December 2024 US Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, which potential study design would be most likely to produce evidence that would enable Grasby et al. to answer their research question? The Lego Group's introduction of the Legoland theme park in 1968"
f5cee4a9-66e4-4bd3-a039-2e4ea1aa7776_20,Math,Information and Ideas,Command of Evidence,December 2024 US Form A SAT Math Module 1,subject_domain_mismatch;subject_skill_mismatch,"The graph of a line in the xy-plane passes through the point (1, 8) and crosses the x-axis at the point (7, 0). The line crosses the y-axis at the point (0, b). What is the value of b?"
e26dd9f3-3dbe-49b6-afbf-43a483d231ba_5,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,December 2024 US Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,Which choice best states the function of the underlined portion in the text as a whole? Benjamin Prudhomme and colleagues have explored how convergent evolution—<u>a phenomenon that occurs when the same trait evolves ind
e26dd9f3-3dbe-49b6-afbf-43a483d231ba_8,Reading and Writing,Advanced Math,Equivalent Expressions,December 2024 US Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, why does Miguel accompany his brother to the sisters' house one day? The following text is from Julia Alvarez's 2000 novel *In the Name of Salomé*. The narrator and her sister, daughters of a famous po"
e26dd9f3-3dbe-49b6-afbf-43a483d231ba_9,Reading and Writing,Advanced Math,Equivalent Expressions,December 2024 US Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"What does the text most strongly suggest about paintings by Knight? Motivated to sell as many paintings as possible, Alfred Hair, an influential figure among the landscape artists known as the Florida Highwaymen, pioneer"
e26dd9f3-3dbe-49b6-afbf-43a483d231ba_14,Reading and Writing,Problem-Solving and Data Analysis,"Ratios, Rates, Proportions, and Units",December 2024 US Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Which finding, if true, would most directly support Mulder and Spellman's conclusion? Mooseberry (*Viburnum edule*) plants are native to Alaska, where harsh conditions have historically impeded potential invasive species"
1bab97be-1fd5-4874-9973-125f743d4cac_7,Reading and Writing,Problem-Solving and Data Analysis,Percentages,December 2024 US Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"The text makes which point about the difference between the proportions of La Paz residents and Fortaleza residents using parks? In a study by Mika R. Moran, Daniel A. Rodriguez, and colleagues, residents of La Paz, Boli"
1bab97be-1fd5-4874-9973-125f743d4cac_8,Reading and Writing,Advanced Math,Equivalent Expressions,December 2024 US Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which finding, if true, would most directly support Martinez and colleagues' conclusion? The bird species *Hylophilus ochraceiceps* (the tawny-crowned greenlet) shares some territory in French Guiana with *Thamnomanes ca"
1bab97be-1fd5-4874-9973-125f743d4cac_9,Reading and Writing,Problem-Solving and Data Analysis,Probability,December 2024 US Form B SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, which potential study design would be most likely to produce evidence that would enable Grasby et al. to answer their research question? Apple's introduction of the iPhone in 2007 is a quintessential i"
32388549-e820-4b4a-91a9-d9c32e611098_3,Math,Information and Ideas,Command of Evidence,December 2024 US Form B SAT Math Module 2,subject_domain_mismatch;subject_skill_mismatch,"For a linear relationship between x and y, the table gives three values of x and their corresponding values of y, Which equation represents this relationship?"
32388549-e820-4b4a-91a9-d9c32e611098_15,Math,Information and Ideas,Command of Evidence,December 2024 US Form B SAT Math Module 2,subject_domain_mismatch;subject_skill_mismatch,What is an equation of the graph shown?
2151936b-0a32-450c-9679-a3f550831cb9_9,Reading and Writing,Advanced Math,Equivalent Expressions,December 2024 US Form C SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, what can be inferred about *Ancient Language*? In 2004, Andrew Rogers created *Ancient Language*. In this work, Rogers created an 80-meter-long geoglyph out of rocks in the Atacama Desert. Rogers's wor"
2151936b-0a32-450c-9679-a3f550831cb9_11,Reading and Writing,Algebra,Linear Inequalities,December 2024 US Form C SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Which finding from Christina Zdenek, Timothy Staples, and their team's study, if true, would most directly challenge the underlined assumption? A student is studying how woma pythons, eastern brown snakes, and rough-scal"
61095ce3-05bf-46a1-a191-e8b52ec70c8e_7,Reading and Writing,Algebra,Linear Functions,December 2024 US Form C SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice best describes the function of the information about Algeria in the text as a whole? In Algeria, use of solid fuel (e.g., coal, wood) as a share of total household fuel use fell by approximately three-fourth"
61095ce3-05bf-46a1-a191-e8b52ec70c8e_8,Reading and Writing,Problem-Solving and Data Analysis,Percentages,December 2024 US Form C SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"The text makes which point about the difference between the proportions of Mexico City residents and Fortaleza residents using parks? In a study by Mika R. Moran, Daniel A. Rodriguez, and colleagues, residents of Mexico "
61095ce3-05bf-46a1-a191-e8b52ec70c8e_9,Reading and Writing,Advanced Math,Equivalent Expressions,December 2024 US Form C SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which finding, if true, would most directly support Martinez and colleagues' conclusion? The bird species *Microbates collaris* (the collared gnatwren) shares some territory in French Guiana with *Thamnomanes caesius* (t"
61095ce3-05bf-46a1-a191-e8b52ec70c8e_11,Reading and Writing,Problem-Solving and Data Analysis,Two-Variable Data,December 2024 US Form C SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,Which choice most effectively uses data from the graph to complete the example? Neuroscientist Kiyohito ligaya and colleagues developed a computational model to predict how much a person will enjoy a particular work of a
61095ce3-05bf-46a1-a191-e8b52ec70c8e_13,Reading and Writing,Problem-Solving and Data Analysis,Percentages,December 2024 US Form C SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice most logically completes the text? Chelsea Wood et al. tracked temperature-driven changes in the abundance of *Gonocerca* sp. (a complex life cycle parasite, or CLP, that requires three host species througho"
61095ce3-05bf-46a1-a191-e8b52ec70c8e_14,Reading and Writing,Problem-Solving and Data Analysis,Evaluating Statistical Claims,December 2024 US Form C SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Which choice most logically completes the text? Prolonged exposure to anthropogenic noise (sounds from human sources like traffic or mining) can affect animals, as Lidia Eva Wysocki and colleagues found in a 2006 study o"
ec2ddee6-a98b-41ee-9169-7cea79c09b5c_9,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,June 2023 Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"The text makes which point about the O'odham word *gogogs*? In O'odham, an Indigenous language from the Southwest region of what is now the United States, *gogs* means \""a dog\"", whereas *gogogs* is used to refer to seve"
6c5588e4-f326-44d2-afd6-39547f4bb40a_8,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,June 2023 Form A SAT English Module 2,subject_domain_mismatch;subject_skill_mismatch,"Based on the text, what does the narrator mainly remember about the times when his mother chanted to him? The following text is adapted from Adib Khorram's 2018 novel *Darius the Great Is Not Okay*. Darius, a teenager fr"
112a6b4d-d9f5-46f3-9367-da2e729b54fe_8,Reading and Writing,Geometry and Trigonometry,Area and Volume,June 2024 International Form A SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"According to the text, what did Sun and colleagues discover about surfactants? Microplastics are tiny pieces of plastic waste. Areas of the ocean with higher concentrations of microplastic particles also have smaller and"
9e596d48-2bc5-4cbe-b5a5-d23a37d7cccd_14,Math,Information and Ideas,Command of Evidence,June 2024 International Form A SAT Math Module 1,subject_domain_mismatch;subject_skill_mismatch,The table shows four values of a and their corresponding values of y. There is a linear relationship between x and y. Which of the following equations represents this relationship?
20ec56b7-c956-4c42-84fa-6d5ee0b1ccd5_8,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,June 2024 International Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"Which question does the text most directly attempt to answer? A contraction of \""you all,\"" the pronoun \""y'all\"" has long been used as a plural version of \""you\"" in the South and in Black communities around the US. In "
20ec56b7-c956-4c42-84fa-6d5ee0b1ccd5_9,Reading and Writing,Problem-Solving and Data Analysis,One-Variable Data,June 2024 International Form B SAT English Module 1,subject_domain_mismatch;subject_skill_mismatch,"What does the text suggest about the term “cellophane\""? Many people use the trademark “Kleenex\"" to refer generally to facial tissue rather than specifically to products made by Kimberly-Clark, the company that owns the"
